algname,n_train,n_users,acc
SVD,10,2,0.6
SVD,20,2,0.71
SVD,30,2,0.65
SVD,40,2,0.71
SVD,50,2,0.63
SVD,60,2,0.69
SVD,70,2,0.7
SVD,80,2,0.7
SVD,90,2,0.68
SVD,100,2,0.66
SVD,110,2,0.7
SVD,120,2,0.67
SVD,130,2,0.71
SVD,140,2,0.65
SVD,150,2,0.7
SVD,160,2,0.67
SVD,170,2,0.7
SVD,180,2,0.69
SVD,190,2,0.73
SVD,200,2,0.68
SVD,10,3,0.6666666666666666
SVD,20,3,0.6733333333333333
SVD,30,3,0.6666666666666666
SVD,40,3,0.66
SVD,50,3,0.64
SVD,60,3,0.7
SVD,70,3,0.6533333333333333
SVD,80,3,0.6333333333333333
SVD,90,3,0.64
SVD,100,3,0.6666666666666666
SVD,110,3,0.6933333333333334
SVD,120,3,0.6466666666666666
SVD,130,3,0.6933333333333334
SVD,140,3,0.6933333333333334
SVD,150,3,0.66
SVD,160,3,0.6866666666666666
SVD,170,3,0.64
SVD,180,3,0.6266666666666667
SVD,190,3,0.6466666666666666
SVD,200,3,0.58
SVD,10,4,0.64
SVD,20,4,0.625
SVD,30,4,0.59
SVD,40,4,0.62
SVD,50,4,0.6
SVD,60,4,0.655
SVD,70,4,0.655
SVD,80,4,0.66
SVD,90,4,0.635
SVD,100,4,0.61
SVD,110,4,0.62
SVD,120,4,0.675
SVD,130,4,0.59
SVD,140,4,0.61
SVD,150,4,0.62
SVD,160,4,0.63
SVD,170,4,0.6
SVD,180,4,0.58
SVD,190,4,0.6
SVD,200,4,0.58
SVD,10,5,0.62
SVD,20,5,0.58
SVD,30,5,0.604
SVD,40,5,0.632
SVD,50,5,0.664
SVD,60,5,0.688
SVD,70,5,0.644
SVD,80,5,0.68
SVD,90,5,0.648
SVD,100,5,0.584
SVD,110,5,0.58
SVD,120,5,0.676
SVD,130,5,0.692
SVD,140,5,0.624
SVD,150,5,0.632
SVD,160,5,0.64
SVD,170,5,0.66
SVD,180,5,0.588
SVD,190,5,0.652
SVD,200,5,0.576
NMF,10,2,0.73
NMF,20,2,0.71
NMF,30,2,0.64
NMF,40,2,0.71
NMF,50,2,0.64
NMF,60,2,0.7
NMF,70,2,0.7
NMF,80,2,0.72
NMF,90,2,0.71
NMF,100,2,0.68
NMF,110,2,0.7
NMF,120,2,0.65
NMF,130,2,0.69
NMF,140,2,0.66
NMF,150,2,0.71
NMF,160,2,0.66
NMF,170,2,0.71
NMF,180,2,0.69
NMF,190,2,0.73
NMF,200,2,0.69
NMF,10,3,0.6666666666666666
NMF,20,3,0.6733333333333333
NMF,30,3,0.6666666666666666
NMF,40,3,0.6666666666666666
NMF,50,3,0.64
NMF,60,3,0.7
NMF,70,3,0.6666666666666666
NMF,80,3,0.6466666666666666
NMF,90,3,0.6133333333333333
NMF,100,3,0.6866666666666666
NMF,110,3,0.6933333333333334
NMF,120,3,0.6533333333333333
NMF,130,3,0.72
NMF,140,3,0.7
NMF,150,3,0.66
NMF,160,3,0.6866666666666666
NMF,170,3,0.6733333333333333
NMF,180,3,0.64
NMF,190,3,0.66
NMF,200,3,0.5933333333333334
NMF,10,4,0.64
NMF,20,4,0.625
NMF,30,4,0.61
NMF,40,4,0.61
NMF,50,4,0.59
NMF,60,4,0.64
NMF,70,4,0.67
NMF,80,4,0.66
NMF,90,4,0.63
NMF,100,4,0.645
NMF,110,4,0.58
NMF,120,4,0.665
NMF,130,4,0.62
NMF,140,4,0.615
NMF,150,4,0.64
NMF,160,4,0.665
NMF,170,4,0.635
NMF,180,4,0.59
NMF,190,4,0.64
NMF,200,4,0.605
NMF,10,5,0.584
NMF,20,5,0.596
NMF,30,5,0.552
NMF,40,5,0.584
NMF,50,5,0.592
NMF,60,5,0.6
NMF,70,5,0.592
NMF,80,5,0.604
NMF,90,5,0.588
NMF,100,5,0.604
NMF,110,5,0.548
NMF,120,5,0.548
NMF,130,5,0.572
NMF,140,5,0.572
NMF,150,5,0.592
NMF,160,5,0.572
NMF,170,5,0.62
NMF,180,5,0.56
NMF,190,5,0.644
NMF,200,5,0.568
KNNWithMeans,10,2,0.73
KNNWithMeans,20,2,0.71
KNNWithMeans,30,2,0.64
KNNWithMeans,40,2,0.71
KNNWithMeans,50,2,0.63
KNNWithMeans,60,2,0.7
KNNWithMeans,70,2,0.7
KNNWithMeans,80,2,0.74
KNNWithMeans,90,2,0.7
KNNWithMeans,100,2,0.69
KNNWithMeans,110,2,0.7
KNNWithMeans,120,2,0.66
KNNWithMeans,130,2,0.67
KNNWithMeans,140,2,0.64
KNNWithMeans,150,2,0.68
KNNWithMeans,160,2,0.66
KNNWithMeans,170,2,0.69
KNNWithMeans,180,2,0.67
KNNWithMeans,190,2,0.66
KNNWithMeans,200,2,0.66
KNNWithMeans,10,3,0.6666666666666666
KNNWithMeans,20,3,0.6733333333333333
KNNWithMeans,30,3,0.6733333333333333
KNNWithMeans,40,3,0.6666666666666666
KNNWithMeans,50,3,0.6533333333333333
KNNWithMeans,60,3,0.6933333333333334
KNNWithMeans,70,3,0.6733333333333333
KNNWithMeans,80,3,0.6466666666666666
KNNWithMeans,90,3,0.62
KNNWithMeans,100,3,0.6733333333333333
KNNWithMeans,110,3,0.6933333333333334
KNNWithMeans,120,3,0.6266666666666667
KNNWithMeans,130,3,0.74
KNNWithMeans,140,3,0.7
KNNWithMeans,150,3,0.6466666666666666
KNNWithMeans,160,3,0.68
KNNWithMeans,170,3,0.64
KNNWithMeans,180,3,0.64
KNNWithMeans,190,3,0.6266666666666667
KNNWithMeans,200,3,0.6133333333333333
KNNWithMeans,10,4,0.65
KNNWithMeans,20,4,0.63
KNNWithMeans,30,4,0.61
KNNWithMeans,40,4,0.61
KNNWithMeans,50,4,0.595
KNNWithMeans,60,4,0.66
KNNWithMeans,70,4,0.68
KNNWithMeans,80,4,0.645
KNNWithMeans,90,4,0.62
KNNWithMeans,100,4,0.625
KNNWithMeans,110,4,0.57
KNNWithMeans,120,4,0.625
KNNWithMeans,130,4,0.625
KNNWithMeans,140,4,0.615
KNNWithMeans,150,4,0.62
KNNWithMeans,160,4,0.615
KNNWithMeans,170,4,0.605
KNNWithMeans,180,4,0.595
KNNWithMeans,190,4,0.58
KNNWithMeans,200,4,0.595
KNNWithMeans,10,5,0.584
KNNWithMeans,20,5,0.592
KNNWithMeans,30,5,0.548
KNNWithMeans,40,5,0.588
KNNWithMeans,50,5,0.596
KNNWithMeans,60,5,0.576
KNNWithMeans,70,5,0.6
KNNWithMeans,80,5,0.628
KNNWithMeans,90,5,0.592
KNNWithMeans,100,5,0.616
KNNWithMeans,110,5,0.52
KNNWithMeans,120,5,0.496
KNNWithMeans,130,5,0.584
KNNWithMeans,140,5,0.592
KNNWithMeans,150,5,0.564
KNNWithMeans,160,5,0.572
KNNWithMeans,170,5,0.64
KNNWithMeans,180,5,0.552
KNNWithMeans,190,5,0.62
KNNWithMeans,200,5,0.588
